                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5741,                 3.5296,                 1.0285,                 0.9845,                0.97879,                0.97783,                0.56515,                      0,                    inf,                      0,               0.070319,              0.0032979,              0.0032979
                      1,                 1.3258,                0.77087,                0.86877,                 0.9532,                0.99394,                0.99112,                0.60954,                      0,                    inf,                      0,               0.040313,              0.0066246,              0.0066246
                      2,                 1.3956,                 0.8825,                0.89078,                0.90151,                0.87879,                0.90434,                0.50635,                      0,                    inf,                      0,               0.010299,              0.0099448,              0.0099448
                      3,                 1.3998,                0.78834,                0.89776,                0.94554,                0.90606,                0.92037,                0.49891,                      0,                    inf,                      0,              0.0099703,              0.0099703,              0.0099703
                      4,                  1.375,                0.70154,                0.89521,                0.92179,                0.95152,                0.97513,                0.52611,                      0,                    inf,                      0,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.296,                0.64861,                0.88821,                0.95435,                0.82365,                0.92313,                0.54444,                      0,                    inf,                      0,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.2545,                0.61933,                0.88208,                0.90476,                0.91818,                 0.9436,                0.58549,                      0,                    inf,                      0,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1704,                0.59396,                0.87084,                0.86812,                0.75798,                0.83098,                0.50848,                      0,                    inf,                      0,              0.0099406,              0.0099406,              0.0099406
                      8,                  1.186,                0.59376,                0.86754,                0.91154,                 0.7182,                0.82512,                0.43936,                      0,                    inf,                      0,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.1508,                0.56406,                0.86498,                0.93689,                0.80973,                0.88409,                0.52463,                      0,                    inf,                      0,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.1079,                0.52916,                0.86683,                0.95636,                0.95758,                0.97797,                0.62073,                      0,                    inf,                      0,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0937,                0.53592,                0.86227,                0.99383,                0.97569,                0.99422,                0.60706,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                     12,                 1.0706,                0.52315,                  0.853,                0.97776,                 0.9324,                0.97444,                0.64602,                      0,                    inf,                      0,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.1095,                0.54139,                 0.8542,                0.98591,                0.97576,                0.99293,                0.61215,                      0,                    inf,                      0,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0888,                0.52041,                0.85526,                0.97509,                0.96667,                0.98711,                0.59646,                      0,                    inf,                      0,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0415,                0.51065,                0.84512,                0.98312,                0.93333,                 0.9884,                0.61433,                      0,                    inf,                      0,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.0535,                0.51212,                 0.8531,                 0.9963,                0.89697,                0.95027,                0.59125,                      0,                    inf,                      0,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.0447,                 0.5086,                0.84971,                0.98821,                0.89697,                 0.9525,                0.62053,                      0,                    inf,                      0,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.0273,                0.51382,                0.84722,                      1,                0.92648,                0.96793,                0.64424,                      0,                    inf,                      0,              0.0098317,              0.0098317,              0.0098317
                     19,                  1.009,                0.49799,                0.84176,                0.93187,                0.82892,                0.93374,                0.61231,                      0,                    inf,                      0,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.0147,                0.49888,                 0.8459,                0.98748,                0.95617,                0.98828,                0.61372,                      0,                    inf,                      0,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.0163,                0.49854,                 0.8432,                 0.9643,                0.92424,                0.97355,                0.63218,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                     22,                0.99685,                0.50288,                0.84523,                      1,                 0.9393,                0.98548,                 0.6166,                      0,                    inf,                      0,              0.0097921,              0.0097921,              0.0097921
                     23,                0.98579,                0.49618,                0.84286,                0.97747,                0.96061,                0.99132,                0.64059,                      0,                    inf,                      0,              0.0097822,              0.0097822,              0.0097822
                     24,                0.99841,                0.50748,                0.83908,                0.99543,                0.97879,                0.99458,                0.63375,                      0,                    inf,                      0,              0.0097723,              0.0097723,              0.0097723
                     25,                0.98337,                0.50227,                0.83339,                0.99373,                 0.9603,                0.99315,                0.63791,                      0,                    inf,                      0,              0.0097624,              0.0097624,              0.0097624
                     26,                0.97505,                0.48135,                0.83305,                0.98128,                0.98485,                0.99414,                0.65587,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                     27,                0.96738,                0.49334,                0.83622,                0.99033,                 0.9307,                 0.9803,                0.66138,                      0,                    inf,                      0,              0.0097426,              0.0097426,              0.0097426
                     28,                0.97601,                0.48953,                0.84085,                0.98171,                0.97604,                0.99353,                0.62762,                      0,                    inf,                      0,              0.0097327,              0.0097327,              0.0097327
                     29,                0.96305,                0.48274,                0.82978,                0.95394,                0.87858,                0.95595,                0.62493,                      0,                    inf,                      0,              0.0097228,              0.0097228,              0.0097228
                     30,                0.95845,                 0.4796,                0.83504,                0.99876,                 0.9697,                0.99423,                0.64204,                      0,                    inf,                      0,              0.0097129,              0.0097129,              0.0097129
                     31,                0.94792,                0.47624,                0.83525,                0.99909,                      1,                  0.995,                 0.6587,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                     32,                0.94127,                0.46964,                0.83162,                      1,                0.97927,                0.99485,                 0.6387,                      0,                    inf,                      0,              0.0096931,              0.0096931,              0.0096931
                     33,                0.92845,                0.46409,                0.83111,                 0.9886,                0.95152,                0.99278,                0.67688,                      0,                    inf,                      0,              0.0096832,              0.0096832,              0.0096832
                     34,                0.91923,                0.46041,                0.82994,                      1,                0.96446,                0.99405,                0.67163,                      0,                    inf,                      0,              0.0096733,              0.0096733,              0.0096733
                     35,                0.93974,                0.46675,                0.83316,                      1,                0.99945,                  0.995,                0.68781,                      0,                    inf,                      0,              0.0096634,              0.0096634,              0.0096634
                     36,                0.92917,                  0.473,                0.83359,                 0.9873,                0.92727,                0.98955,                0.65455,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                     37,                0.93103,                0.46887,                0.82656,                0.98912,                 0.9697,                0.99253,                0.69684,                      0,                    inf,                      0,              0.0096436,              0.0096436,              0.0096436
                     38,                 0.9277,                0.46477,                0.82851,                0.99041,                0.97879,                0.99364,                0.64608,                      0,                    inf,                      0,              0.0096337,              0.0096337,              0.0096337
                     39,                0.92152,                0.46261,                0.82684,                 0.9946,                0.97273,                0.99449,                0.69183,                      0,                    inf,                      0,              0.0096238,              0.0096238,              0.0096238
                     40,                0.92581,                0.45857,                0.83613,                      1,                0.99971,                  0.995,                0.67125,                      0,                    inf,                      0,              0.0096139,              0.0096139,              0.0096139
                     41,                0.92621,                0.46652,                  0.828,                0.99651,                0.98788,                0.99479,                0.66036,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     42,                0.89695,                0.45051,                0.82955,                0.99848,                0.98182,                0.99482,                0.66713,                      0,                    inf,                      0,              0.0095941,              0.0095941,              0.0095941
                     43,                0.90696,                0.44623,                0.83032,                0.99083,                0.98203,                0.99461,                0.65815,                      0,                    inf,                      0,              0.0095842,              0.0095842,              0.0095842
                     44,                0.91406,                0.44966,                0.83343,                0.98427,                0.94821,                0.99319,                0.70736,                      0,                    inf,                      0,              0.0095743,              0.0095743,              0.0095743
                     45,                0.91482,                0.46508,                0.82615,                0.93673,                0.89736,                0.97723,                0.65857,                      0,                    inf,                      0,              0.0095644,              0.0095644,              0.0095644
                     46,                0.90969,                0.45457,                 0.8301,                0.99684,                0.99091,                0.99497,                 0.6827,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     47,                0.91175,                0.45603,                0.83207,                0.99688,                0.96688,                0.99373,                0.67132,                      0,                    inf,                      0,              0.0095446,              0.0095446,              0.0095446
                     48,                0.89211,                0.44763,                0.82835,                0.97012,                0.98384,                0.99364,                0.67259,                      0,                    inf,                      0,              0.0095347,              0.0095347,              0.0095347
                     49,                0.88547,                0.44037,                0.82661,                0.98758,                0.96346,                0.99045,                0.70121,                      0,                    inf,                      0,              0.0095248,              0.0095248,              0.0095248
                     50,                0.88763,                0.44135,                0.82782,                0.99109,                0.98182,                 0.9947,                0.67816,                      0,                    inf,                      0,              0.0095149,              0.0095149,              0.0095149
                     51,                0.88395,                0.43293,                0.83419,                 0.9918,                0.98485,                0.99418,                0.66412,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     52,                0.89957,                0.43789,                  0.825,                0.99694,                0.98729,                0.99459,                0.66623,                      0,                    inf,                      0,              0.0094951,              0.0094951,              0.0094951
                     53,                0.89354,                0.44072,                0.82038,                0.99105,                0.98788,                0.99482,                0.66656,                      0,                    inf,                      0,              0.0094852,              0.0094852,              0.0094852
                     54,                0.87676,                0.43312,                0.82371,                0.99375,                0.96432,                0.99369,                0.70518,                      0,                    inf,                      0,              0.0094753,              0.0094753,              0.0094753
                     55,                0.90736,                0.43966,                0.82644,                0.97269,                0.97273,                0.99148,                0.67961,                      0,                    inf,                      0,              0.0094654,              0.0094654,              0.0094654
                     56,                0.89114,                0.44015,                 0.8264,                0.98681,                0.97576,                0.99135,                 0.6597,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     57,                0.88059,                0.42519,                0.82944,                0.98774,                 0.9763,                 0.9944,                0.70862,                      0,                    inf,                      0,              0.0094456,              0.0094456,              0.0094456
                     58,                0.86698,                0.42493,                0.82699,                0.99893,                0.98485,                0.99473,                0.68559,                      0,                    inf,                      0,              0.0094357,              0.0094357,              0.0094357
                     59,                0.88719,                0.43839,                0.82225,                0.98965,                0.97576,                0.99387,                 0.6734,                      0,                    inf,                      0,              0.0094258,              0.0094258,              0.0094258
                     60,                0.90132,                0.43716,                 0.8262,                0.99603,                0.99091,                0.99491,                0.67899,                      0,                    inf,                      0,              0.0094159,              0.0094159,              0.0094159
                     61,                0.86815,                0.42618,                  0.827,                0.99693,                0.98479,                0.99497,                0.68019,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     62,                0.87706,                 0.4297,                0.82438,                      1,                0.94071,                  0.993,                0.64941,                      0,                    inf,                      0,              0.0093961,              0.0093961,              0.0093961
                     63,                0.86098,                0.42158,                0.82566,                0.98475,                0.97859,                0.99283,                0.66415,                      0,                    inf,                      0,              0.0093862,              0.0093862,              0.0093862
                     64,                0.87315,                0.43464,                0.82222,                0.98147,                0.96301,                0.99193,                0.68411,                      0,                    inf,                      0,              0.0093763,              0.0093763,              0.0093763
                     65,                0.87568,                0.42989,                0.81936,                0.99094,                0.97576,                 0.9947,                0.67148,                      0,                    inf,                      0,              0.0093664,              0.0093664,              0.0093664
                     66,                0.87845,                0.43023,                0.82578,                0.99941,                0.97576,                0.99485,                0.66875,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
                     67,                0.85863,                0.42171,                0.82756,                0.99395,                0.99627,                0.99494,                0.68121,                      0,                    inf,                      0,              0.0093466,              0.0093466,              0.0093466
                     68,                0.88044,                 0.4269,                0.82355,                0.99824,                0.99394,                  0.995,                0.70119,                      0,                    inf,                      0,              0.0093367,              0.0093367,              0.0093367
                     69,                0.85777,                0.42493,                0.82091,                0.99088,                0.98803,                0.99491,                0.68345,                      0,                    inf,                      0,              0.0093268,              0.0093268,              0.0093268
                     70,                0.85351,                0.42331,                0.82171,                0.98853,                0.97576,                0.99437,                0.68029,                      0,                    inf,                      0,              0.0093169,              0.0093169,              0.0093169
                     71,                0.87163,                0.42809,                 0.8216,                0.99086,                0.98603,                 0.9947,                0.65725,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     72,                 0.8556,                0.41952,                 0.8228,                0.99693,                0.98355,                0.99462,                0.67807,                      0,                    inf,                      0,              0.0092971,              0.0092971,              0.0092971
                     73,                0.83627,                0.40736,                 0.8137,                 0.9979,                0.99697,                  0.995,                0.71026,                      0,                    inf,                      0,              0.0092872,              0.0092872,              0.0092872
                     74,                0.85044,                0.41327,                0.82404,                0.99906,                0.95455,                0.99058,                0.71883,                      0,                    inf,                      0,              0.0092773,              0.0092773,              0.0092773
                     75,                0.84279,                0.41324,                0.82378,                0.99688,                0.96712,                0.99004,                0.66788,                      0,                    inf,                      0,              0.0092674,              0.0092674,              0.0092674
                     76,                0.84134,                 0.4175,                0.81669,                 0.9996,                0.95152,                0.98855,                0.70463,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     77,                0.84101,                0.41395,                0.81629,                0.99686,                 0.9624,                0.99323,                0.70124,                      0,                    inf,                      0,              0.0092476,              0.0092476,              0.0092476
                     78,                0.84049,                0.41414,                0.81956,                      1,                0.97524,                0.99476,                0.70867,                      0,                    inf,                      0,              0.0092377,              0.0092377,              0.0092377
                     79,                0.83536,                 0.4156,                0.81811,                      1,                0.99053,                  0.995,                0.68115,                      0,                    inf,                      0,              0.0092278,              0.0092278,              0.0092278
                     80,                0.84706,                0.41342,                0.82356,                 0.9939,                0.98804,                0.99482,                0.69498,                      0,                    inf,                      0,              0.0092179,              0.0092179,              0.0092179
                     81,                0.85141,                0.41678,                0.81594,                 0.9959,                0.99394,                0.99497,                0.66404,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     82,                0.84228,                0.42011,                0.81525,                0.99394,                0.99326,                0.99497,                0.67084,                      0,                    inf,                      0,              0.0091981,              0.0091981,              0.0091981
                     83,                0.82776,                0.40787,                0.81582,                 0.9761,                0.99001,                0.99399,                0.67714,                      0,                    inf,                      0,              0.0091882,              0.0091882,              0.0091882
                     84,                0.84452,                0.41912,                0.81704,                      1,                0.98712,                0.99491,                0.70021,                      0,                    inf,                      0,              0.0091783,              0.0091783,              0.0091783
                     85,                0.83939,                0.41218,                0.81538,                0.99583,                0.99091,                0.99497,                0.67578,                      0,                    inf,                      0,              0.0091684,              0.0091684,              0.0091684
                     86,                 0.8451,                0.40689,                0.81922,                 0.9996,                0.99091,                  0.995,                 0.7211,                      0,                    inf,                      0,              0.0091585,              0.0091585,              0.0091585
                     87,                0.83734,                0.41133,                0.81886,                0.99694,                0.98667,                0.99437,                0.70765,                      0,                    inf,                      0,              0.0091486,              0.0091486,              0.0091486
                     88,                0.82647,                0.40755,                 0.8192,                0.98435,                0.97576,                0.99386,                 0.6777,                      0,                    inf,                      0,              0.0091387,              0.0091387,              0.0091387
                     89,                0.84694,                0.41024,                0.81647,                0.98803,                0.98788,                 0.9947,                0.68254,                      0,                    inf,                      0,              0.0091288,              0.0091288,              0.0091288
                     90,                0.82795,                0.40278,                0.81791,                0.99695,                0.98998,                0.99497,                0.70217,                      0,                    inf,                      0,              0.0091189,              0.0091189,              0.0091189
                     91,                0.83826,                0.40127,                0.82554,                0.99693,                0.98367,                0.99488,                0.68635,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     92,                0.82345,                0.41008,                0.81274,                0.99689,                0.97184,                0.99433,                0.68322,                      0,                    inf,                      0,              0.0090991,              0.0090991,              0.0090991
                     93,                0.82478,                0.39765,                0.81659,                0.98258,                0.92121,                0.98225,                0.67231,                      0,                    inf,                      0,              0.0090892,              0.0090892,              0.0090892
